case_id,case_name,factor,level,scenario_id,scenario_name,method,solution_hash,scenario_objective_if_completed,deterministic_objective,objective_change,value_drop_ratio,feasible_under_scenario,unavailable_assignment_count,overtime_device_count,total_overtime,max_overtime,mean_utilization,max_utilization,intrinsic_block_value,ordinary_processing_increment,precision_processing_increment,same_precision_reward,precision_mismatch_penalty,cross_crack_loss
SCALE02,木板规模梯度2,board_scale,2,U1,普通设备降速,MG,405c6076fedaed37,1754.6498881960763,1754.6498881960763,0.0,0.0,False,0,3,0.7796535056312424,0.5584806708963699,0.9154509714967004,1.124106815754749,877.6498881960763,672.0,288.0,120.0,175.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U2,精密设备降速,MG,405c6076fedaed37,1754.6498881960763,1754.6498881960763,0.0,0.0,False,0,1,0.15975050124943468,0.15975050124943468,0.8904532076040977,1.0355001113887632,877.6498881960763,672.0,288.0,120.0,175.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U3,全设备降速,MG,405c6076fedaed37,1754.6498881960763,1754.6498881960763,0.0,0.0,False,0,3,0.7796535056312424,0.5584806708963699,0.9650038605401867,1.124106815754749,877.6498881960763,672.0,288.0,120.0,175.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U4,普通设备故障,MG,405c6076fedaed37,1754.6498881960763,1754.6498881960763,0.0,0.0,False,3,0,0.0,0.0,0.6496756410358413,0.9554907933915364,877.6498881960763,672.0,288.0,120.0,175.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U5,精密设备故障,MG,405c6076fedaed37,1754.6498881960763,1754.6498881960763,0.0,0.0,False,1,0,0.0,0.0,0.7051335947016046,0.9554907933915364,877.6498881960763,672.0,288.0,120.0,175.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U6,隐藏裂缝,MG,405c6076fedaed37,1673.5994892253748,1754.6498881960763,-81.05039897070151,0.046191778494357044,True,0,0,0.0,0.0,0.8612107677276531,0.9625589744640239,816.5994892253748,672.0,288.0,120.0,175.0,48.0
SCALE02,木板规模梯度2,board_scale,2,U7,复合扰动,MG,405c6076fedaed37,1673.5994892253748,1754.6498881960763,-81.05039897070151,0.046191778494357044,False,3,0,0.0,0.0,0.718651269077694,0.9625589744640239,816.5994892253748,672.0,288.0,120.0,175.0,48.0
SCALE02,木板规模梯度2,board_scale,2,U0,基准情景,MG-LS,da9bbb0d9f0de3b2,2045.649888196076,2045.649888196076,0.0,0.0,True,0,0,0.0,0.0,0.9116210654891962,0.9554907933915364,877.6498881960763,672.0,384.0,240.0,100.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U1,普通设备降速,MG-LS,da9bbb0d9f0de3b2,2045.649888196076,2045.649888196076,0.0,0.0,False,0,3,1.4496876011014992,0.5584806708963699,1.0112856494965397,1.124106815754749,877.6498881960763,672.0,384.0,240.0,100.0,28.0
SCALE02,木板规模梯度2,board_scale,2,U2,精密设备降速,MG-LS,da9bbb0d9f0de3b2,2045.649888196076,2045.649888196076,0.0,0.0,False,0,2,0.755299390713299,0.5955488894638643,0.9983348378510921,1.1323441976586366,877.6498881960763,672.0,384.0,240.0,100.0,28.0
